Temperature,Pressure,Fuel type,EquivalenceRatio,LBV
300,1,premixed Propane Air,0.7,21.608
300,1,premixed Propane Air,0.8,29.608
300,1,premixed Propane Air,1.0,37.81
300,1,premixed Propane Air,1.1,39.734
300,1,premixed Propane Air,1.2,37.709
300,1,premixed Propane Air,1.3,31.633
300,2,premixed Propane Air,0.7,18.165
300,2,premixed Propane Air,0.8,24.848
300,2,premixed Propane Air,0.9,28.291
300,2,premixed Propane Air,1.1,31.43
300,2,premixed Propane Air,1.2,28.089
300,2,premixed Propane Air,1.3,22.62
300,3,premixed Propane Air,0.7,13.987
300,3,premixed Propane Air,0.8,19.62
300,3,premixed Propane Air,0.9,23.481
300,3,premixed Propane Air,1.0,25.759
300,3,premixed Propane Air,1.1,26.519
300,3,premixed Propane Air,1.3,17.595
300,4,premixed Propane Air,0.7,14.316
300,4,premixed Propane Air,0.9,23.43
300,4,premixed Propane Air,1.0,25.861
300,4,premixed Propane Air,1.1,26.063
300,4,premixed Propane Air,1.2,23.025
300,4,premixed Propane Air,1.3,17.962
300,5,premixed Propane Air,0.7,11.329
300,5,premixed Propane Air,0.8,16.519
300,5,premixed Propane Air,0.9,19.937
300,5,premixed Propane Air,1.0,22.658
300,5,premixed Propane Air,1.1,23.354
300,5,premixed Propane Air,1.3,14.241
600,1,premixed Propane Air,0.7,90.254
600,1,premixed Propane Air,0.8,107.005
600,1,premixed Propane Air,0.9,117.919
600,1,premixed Propane Air,1.0,123.249
600,1,premixed Propane Air,1.1,126.548
600,1,premixed Propane Air,1.2,127.563
600,2,premixed Propane Air,0.7,79.086
600,2,premixed Propane Air,0.8,92.03
600,2,premixed Propane Air,0.9,97.868
600,2,premixed Propane Air,1.0,104.721
600,2,premixed Propane Air,1.1,105.482
600,2,premixed Propane Air,1.2,100.914
600,2,premixed Propane Air,1.3,89.492
600,3,premixed Propane Air,0.7,74.467
600,3,premixed Propane Air,0.8,87.259
600,3,premixed Propane Air,0.9,96.853
600,3,premixed Propane Air,1.0,102.716
600,3,premixed Propane Air,1.1,105.914
600,3,premixed Propane Air,1.2,102.183
600,3,premixed Propane Air,1.3,86.015
600,4,premixed Propane Air,0.7,63.096
600,4,premixed Propane Air,0.8,76.041
600,4,premixed Propane Air,0.9,84.924
600,4,premixed Propane Air,1.0,89.746
600,4,premixed Propane Air,1.2,87.462
600,4,premixed Propane Air,1.3,77.056
600,5,premixed Propane Air,0.7,61.497
600,5,premixed Propane Air,0.8,76.777
600,5,premixed Propane Air,0.9,86.015
600,5,premixed Propane Air,1.0,94.01
600,5,premixed Propane Air,1.1,95.076
600,5,premixed Propane Air,1.2,88.503
600,5,premixed Propane Air,1.3,74.112
368,1,premixed Propane Air,1,58.75
382,1,premixed Propane Air,1,63.625
398,1,premixed Propane Air,1,61.75
414,1,premixed Propane Air,1,72.625
424,1,premixed Propane Air,1,73.75
443,1,premixed Propane Air,1,76.75
482,1,premixed Propane Air,1,92.875
503,1,premixed Propane Air,1,103
523,1,premixed Propane Air,1,107.5
546,1,premixed Propane Air,1,112.375
560,1,premixed Propane Air,1,119.125
576,1,premixed Propane Air,1,129.25
592,1,premixed Propane Air,1,132.25
329,2,premixed Propane Air,0.7,35.875
333,2,premixed Propane Air,0.7,35.875
338,2,premixed Propane Air,0.7,38.875
340,2,premixed Propane Air,0.7,43.75
349,2,premixed Propane Air,0.7,49
356,2,premixed Propane Air,0.7,56.125
358,2,premixed Propane Air,0.7,53.5
363,2,premixed Propane Air,0.7,62.5
366,2,premixed Propane Air,0.7,64.75
368,2,premixed Propane Air,0.7,64.75
374,2,premixed Propane Air,0.7,73.375
380,2,premixed Propane Air,0.7,74.875
384,2,premixed Propane Air,0.7,80.5
390,2,premixed Propane Air,0.7,92.875
396,2,premixed Propane Air,0.7,99.25
317,2,premixed Propane Air,1,44.875
321,2,premixed Propane Air,1,44.125
326,2,premixed Propane Air,1,50.125
337,2,premixed Propane Air,1,62.125
341,2,premixed Propane Air,1,66.625
347,2,premixed Propane Air,1,76.375
351,2,premixed Propane Air,1,74.125
357,2,premixed Propane Air,1,81.25
359,2,premixed Propane Air,1,83.125
366,2,premixed Propane Air,1,89.125
373,2,premixed Propane Air,1,100.375
380,2,premixed Propane Air,1,104.875
384,2,premixed Propane Air,1,113.5
300,1,NH3/H2+Air 0.3,0.7,0.226
300,1,NH3/H2+Air 0.3,0.8,0.249
300,1,NH3/H2+Air 0.3,0.9,0.292
300,1,NH3/H2+Air 0.3,1.0,0.338
300,1,NH3/H2+Air 0.3,1.2,0.348
473,1,NH3/H2+Air 0.3,0.8,0.473
473,1,NH3/H2+Air 0.3,0.9,0.51
473,1,NH3/H2+Air 0.3,1.0,0.581
473,1,NH3/H2+Air 0.3,1.1,0.589
473,1,NH3/H2+Air 0.3,1.3,0.508
473,1,NH3/H2+Air 0.3,1.4,0.473
650,1,NH3/H2+Air 0.3,0.7,0.593
650,1,NH3/H2+Air 0.3,0.8,0.679
650,1,NH3/H2+Air 0.3,0.9,0.873
650,1,NH3/H2+Air 0.3,1.0,0.927
650,1,NH3/H2+Air 0.3,1.1,0.959
300,1,NH3/H2+Air 0.4,0.7,0.116
300,1,NH3/H2+Air 0.4,0.8,0.181
300,1,NH3/H2+Air 0.4,0.9,0.297
300,1,NH3/H2+Air 0.4,1.0,0.31
300,1,NH3/H2+Air 0.4,1.1,0.346
300,1,NH3/H2+Air 0.4,1.2,0.31
473,1,NH3/H2+Air 0.4,0.7,0.352
473,1,NH3/H2+Air 0.4,0.8,0.482
473,1,NH3/H2+Air 0.4,1.0,0.727
473,1,NH3/H2+Air 0.4,1.1,0.782
473,1,NH3/H2+Air 0.4,1.2,0.708
650,1,NH3/H2+Air 0.4,0.7,0.808
650,1,NH3/H2+Air 0.4,0.8,0.924
650,1,NH3/H2+Air 0.4,0.9,1.17
650,1,NH3/H2+Air 0.4,1.0,1.209
650,1,NH3/H2+Air 0.4,1.2,1.125
477,1,NH3/H2+Air 0.3,0.8,0.3
491,1,NH3/H2+Air 0.3,0.8,0.319
520,1,NH3/H2+Air 0.3,0.8,0.366
553,1,NH3/H2+Air 0.3,0.8,0.43
589,1,NH3/H2+Air 0.3,0.8,0.482
615,1,NH3/H2+Air 0.3,0.8,0.532
648,1,NH3/H2+Air 0.3,0.8,0.588
671,1,NH3/H2+Air 0.3,0.8,0.638
691,1,NH3/H2+Air 0.3,0.8,0.691
726,1,NH3/H2+Air 0.3,0.8,0.773
401,1,NH3/H2+Air 0.4,0.8,0.348
450,1,NH3/H2+Air 0.4,0.8,0.437
500,1,NH3/H2+Air 0.4,0.8,0.551
513,1,NH3/H2+Air 0.4,0.8,0.569
548,1,NH3/H2+Air 0.4,0.8,0.662
557,1,NH3/H2+Air 0.4,0.8,0.691
569,1,NH3/H2+Air 0.4,0.8,0.722
589,1,NH3/H2+Air 0.4,0.8,0.77
601,1,NH3/H2+Air 0.4,0.8,0.807
613,1,NH3/H2+Air 0.4,0.8,0.844
626,1,NH3/H2+Air 0.4,0.8,0.881
634,1,NH3/H2+Air 0.4,0.8,0.907
648,1,NH3/H2+Air 0.4,0.8,0.955
653,1,NH3/H2+Air 0.4,0.8,0.97
674,1,NH3/H2+Air 0.4,0.8,1.047
373,1,NH3/H2+Air 0.3,1,0.299
423,1,NH3/H2+Air 0.3,1,0.392
449,1,NH3/H2+Air 0.3,1,0.441
489,1,NH3/H2+Air 0.3,1,0.527
519,1,NH3/H2+Air 0.3,1,0.6
537,1,NH3/H2+Air 0.3,1,0.633
